iter	Passed	Remaining
0	58	58784
1	59	29607
2	59	19877
3	60	15021
4	60	12090
5	61	10138
6	61	8737
7	61	7686
8	62	6873
9	62	6226
10	63	5692
11	63	5244
12	64	4882
13	64	4560
14	65	4282
15	65	4038
16	66	3820
17	66	3627
18	66	3453
19	67	3296
20	67	3156
21	68	3028
22	68	2912
23	68	2804
24	69	2705
25	69	2615
26	70	2530
27	70	2450
28	71	2377
29	71	2308
30	71	2245
31	72	2184
32	72	2127
33	72	2073
34	73	2022
35	73	1974
36	74	1928
37	74	1886
38	74	1846
39	75	1807
40	75	1772
41	76	1736
42	76	1703
43	76	1672
44	77	1641
45	77	1613
46	78	1585
47	78	1558
48	78	1532
49	79	1508
50	79	1485
51	80	1462
52	80	1440
53	81	1419
54	81	1399
55	81	1379
56	82	1361
57	82	1342
58	83	1327
59	83	1313
60	84	1300
61	84	1285
62	85	1269
63	85	1255
64	86	1240
65	86	1225
66	86	1210
67	87	1196
68	87	1182
69	88	1169
70	88	1156
71	88	1144
72	89	1132
73	89	1120
74	89	1108
75	90	1097
76	90	1086
77	91	1075
78	91	1065
79	91	1055
80	92	1046
81	92	1036
82	92	1024
83	93	1015
84	93	1006
85	93	997
86	94	989
87	94	980
88	95	973
89	95	969
90	96	961
91	96	954
92	97	946
93	97	939
94	97	933
95	98	926
96	98	919
97	99	912
98	99	906
99	100	901
100	100	895
101	101	895
102	102	889
103	102	883
104	102	877
105	103	872
106	103	866
107	104	860
108	104	855
109	104	849
110	105	844
111	105	839
112	106	834
113	106	829
114	107	823
115	107	818
116	107	812
117	108	807
118	108	802
119	108	798
120	109	793
121	109	787
122	109	782
123	110	779
124	111	777
125	112	777
126	112	772
127	112	768
128	113	764
129	113	760
130	113	756
131	114	752
132	114	748
133	115	744
134	115	741
135	116	737
136	116	733
137	116	729
138	117	725
139	117	722
140	117	718
141	118	714
142	118	710
143	118	706
144	119	703
145	119	700
146	120	696
147	120	693
148	120	690
149	121	686
150	121	684
151	122	681
152	122	678
153	122	675
154	123	672
155	123	669
156	124	666
157	124	663
158	124	660
159	125	657
160	125	654
161	125	651
162	126	649
163	127	647
164	127	645
165	128	644
166	128	642
167	129	639
168	129	637
169	130	635
170	130	632
171	130	630
172	131	627
173	131	625
174	132	624
175	132	621
176	133	619
177	133	617
178	134	615
179	134	613
180	135	611
181	135	608
182	135	606
183	136	604
184	136	602
185	137	600
186	137	598
187	138	596
188	138	594
189	138	592
190	139	590
191	139	588
192	140	586
193	140	584
194	141	582
195	141	580
196	142	578
197	142	577
198	143	576
199	143	575
200	144	573
201	144	571
202	145	569
203	145	568
204	146	567
205	146	565
206	147	563
207	147	561
208	148	560
209	148	558
210	148	556
211	149	554
212	149	553
213	150	551
214	150	549
215	150	547
216	151	545
217	151	544
218	152	542
219	152	540
220	152	538
221	153	537
222	153	535
223	154	535
224	155	534
225	155	533
226	156	531
227	156	529
228	157	530
229	158	529
230	158	528
231	159	526
232	159	525
233	159	523
234	160	521
235	160	520
236	161	518
237	161	517
238	162	517
239	163	517
240	163	515
241	164	514
242	164	512
243	164	511
244	165	509
245	165	508
246	166	506
247	166	504
248	166	503
249	167	501
250	167	500
251	168	499
252	168	498
253	169	496
254	169	495
255	169	493
256	170	492
257	170	491
258	171	490
259	171	488
260	172	487
261	172	486
262	173	486
263	174	486
264	175	486
265	176	487
266	177	485
267	177	484
268	177	483
269	178	482
270	178	480
271	179	479
272	179	478
273	179	476
274	180	475
275	180	474
276	181	472
277	181	471
278	181	470
279	182	469
280	182	467
281	183	466
282	183	465
283	184	464
284	184	463
285	185	462
286	185	461
287	186	459
288	186	458
289	186	457
290	187	456
291	187	455
292	188	455
293	189	454
294	189	453
295	190	452
296	190	451
297	191	450
298	191	448
299	191	447
300	192	447
301	193	446
302	193	445
303	193	443
304	194	442
305	194	441
306	195	440
307	195	439
308	195	437
309	196	436
310	196	435
311	196	434
312	197	433
313	197	431
314	197	430
315	198	429
316	198	428
317	199	427
318	199	425
319	199	424
320	200	423
321	200	422
322	201	421
323	201	420
324	202	419
325	202	418
326	203	417
327	203	417
328	204	416
329	204	415
330	205	414
331	205	414
332	206	413
333	206	411
334	207	411
335	207	409
336	207	408
337	208	407
338	208	407
339	209	405
340	209	404
341	209	403
342	210	402
343	210	401
344	211	400
345	211	399
346	211	398
347	212	397
348	212	396
349	213	395
350	213	394
351	213	393
352	214	392
353	214	392
354	215	391
355	215	390
356	216	389
357	216	388
358	217	388
359	218	388
360	218	387
361	219	386
362	220	386
363	221	386
364	221	385
365	221	384
366	222	383
367	222	382
368	223	381
369	223	380
370	223	379
371	224	378
372	224	377
373	225	377
374	225	376
375	226	375
376	226	374
377	226	373
378	227	372
379	227	371
380	228	370
381	228	369
382	228	368
383	229	367
384	229	366
385	230	365
386	230	365
387	230	364
388	231	363
389	231	362
390	232	361
391	232	360
392	233	360
393	233	359
394	233	358
395	234	357
396	234	356
397	235	356
398	236	355
399	236	354
400	236	353
401	237	352
402	237	351
403	237	350
404	238	349
405	238	349
406	238	348
407	239	347
408	239	346
409	239	345
410	240	344
411	240	343
412	241	342
413	241	341
414	241	340
415	241	339
416	242	338
417	242	337
418	242	336
419	243	336
420	243	335
421	243	334
422	244	333
423	244	332
424	244	331
425	245	330
426	245	329
427	245	328
428	246	327
429	246	326
430	246	326
431	247	325
432	247	324
433	248	323
434	248	322
435	248	322
436	249	321
437	249	320
438	250	319
439	250	318
440	250	317
441	251	317
442	251	316
443	252	315
444	252	315
445	253	314
446	253	313
447	253	312
448	254	311
449	254	311
450	254	310
451	255	309
452	255	308
453	256	307
454	256	307
455	256	306
456	257	305
457	257	304
458	257	303
459	258	303
460	258	302
461	258	301
462	259	300
463	259	300
464	260	299
465	260	298
466	260	297
467	261	297
468	261	296
469	262	295
470	262	294
471	262	294
472	263	293
473	263	292
474	264	291
475	264	291
476	264	290
477	265	289
478	265	288
479	265	288
480	266	287
481	266	286
482	267	285
483	267	285
484	267	284
485	268	283
486	268	282
487	268	282
488	269	281
489	269	280
490	269	279
491	270	278
492	270	278
493	270	277
494	271	276
495	271	275
496	271	275
497	272	274
498	272	273
499	273	273
500	273	272
501	273	271
502	274	270
503	274	270
504	274	269
505	275	268
506	275	267
507	276	267
508	276	266
509	276	265
510	277	265
511	277	264
512	277	263
513	278	263
514	278	262
515	279	261
516	279	261
517	279	260
518	280	259
519	280	258
520	280	258
521	281	257
522	281	256
523	281	255
524	282	255
525	282	254
526	282	253
527	283	253
528	283	252
529	284	251
530	284	251
531	284	250
532	285	249
533	285	249
534	286	248
535	286	248
536	286	247
537	287	246
538	287	246
539	288	245
540	288	244
541	288	244
542	289	243
543	289	242
544	289	242
545	290	241
546	290	240
547	290	239
548	291	239
549	292	238
550	292	238
551	292	237
552	293	237
553	293	236
